year,state_alpha,county_name,county_code,commodity_desc,short_desc,Value,unit_desc
2010,IA,ADAIR,001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",139.1,BU / ACRE
2011,IA,ADAIR,001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",152.8,BU / ACRE
2012,IA,ADAIR,001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",104.4,BU / ACRE
2013,IA,ADAIR,001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",137.8,BU / ACRE
2013,IA,ADAIR,001,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",13.5,TONS / ACRE
2014,IA,ADAIR,001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",169.3,BU / ACRE
2015,IA,ADAIR,001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",176.5,BU / ACRE
2016,IA,ADAIR,001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",190.3,BU / ACRE
2017,IA,ADAIR,001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",175.2,BU / ACRE
2018,IA,ADAIR,001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",149.5,BU / ACRE
2019,IA,ADAIR,001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",176.5,BU / ACRE
2019,IA,ADAIR,001,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",25.5,TONS / ACRE
2020,IA,ADAIR,001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",168.7,BU / ACRE
2020,IA,ADAIR,001,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",19.0,TONS / ACRE
2022,IA,ADAIR,001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",164.2,BU / ACRE
2024,IA,ADAIR,001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",211.2,BU / ACRE
2025,IA,ADAIR,001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",187.0,BU / ACRE
2010,IA,ADAMS,003,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",139.3,BU / ACRE
2011,IA,ADAMS,003,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",151.7,BU / ACRE
2012,IA,ADAMS,003,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",109.8,BU / ACRE
2013,IA,ADAMS,003,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",147.6,BU / ACRE
2013,IA,ADAMS,003,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",13.5,TONS / ACRE
2014,IA,ADAMS,003,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",169.9,BU / ACRE
2015,IA,ADAMS,003,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",169.6,BU / ACRE
2016,IA,ADAMS,003,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",187.4,BU / ACRE
2017,IA,ADAMS,003,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",179.9,BU / ACRE
2018,IA,ADAMS,003,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",171.6,BU / ACRE
2020,IA,ADAMS,003,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",173.3,BU / ACRE
2010,IA,ALLAMAKEE,005,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",175.8,BU / ACRE
2011,IA,ALLAMAKEE,005,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",173.3,BU / ACRE
2012,IA,ALLAMAKEE,005,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",153.6,BU / ACRE
2013,IA,ALLAMAKEE,005,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",162.1,BU / ACRE
2014,IA,ALLAMAKEE,005,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",175.6,BU / ACRE
2014,IA,ALLAMAKEE,005,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",25.0,TONS / ACRE
2015,IA,ALLAMAKEE,005,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",175.4,BU / ACRE
2016,IA,ALLAMAKEE,005,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",205.1,BU / ACRE
2016,IA,ALLAMAKEE,005,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",25.5,TONS / ACRE
2017,IA,ALLAMAKEE,005,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",190.5,BU / ACRE
2018,IA,ALLAMAKEE,005,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",198.4,BU / ACRE
2019,IA,ALLAMAKEE,005,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",187.2,BU / ACRE
2020,IA,ALLAMAKEE,005,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",196.3,BU / ACRE
2020,IA,ALLAMAKEE,005,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",22.0,TONS / ACRE
2021,IA,ALLAMAKEE,005,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",198.5,BU / ACRE
2021,IA,ALLAMAKEE,005,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",22.5,TONS / ACRE
2022,IA,ALLAMAKEE,005,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",215.9,BU / ACRE
2022,IA,ALLAMAKEE,005,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",22.5,TONS / ACRE
2023,IA,ALLAMAKEE,005,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",183.9,BU / ACRE
